district,date,value
NPL002,2002-03-01,109.8093
NPL002,2002-04-01,194.3855
NPL002,2002-05-01,194.9181
NPL002,2002-06-01,230.2657
NPL002,2002-07-01,477.7787
NPL002,2002-08-01,358.4954
NPL002,2002-09-01,144.3329
NPL002,2002-10-01,51.1856
NPL002,2002-11-01,14.7517
NPL002,2002-12-01,26.5718
NPL002,2003-01-01,18.7469
NPL002,2003-02-01,56.7877
NPL002,2003-03-01,87.558
NPL002,2003-04-01,210.1921
NPL002,2003-05-01,113.6381
NPL002,2003-06-01,405.4954
NPL002,2003-07-01,429.0301
NPL002,2003-08-01,318.0266
NPL002,2003-09-01,171.0628
NPL002,2003-10-01,190.9703
NPL002,2003-11-01,13.114
NPL002,2003-12-01,22.5793
NPL002,2004-01-01,27.9011
NPL002,2004-02-01,19.8035
NPL002,2004-03-01,70.8801
NPL002,2004-04-01,168.01
NPL002,2004-05-01,157.5129
NPL002,2004-06-01,281.5452
NPL002,2004-07-01,373.8397
NPL002,2004-08-01,202.5787
NPL002,2004-09-01,174.2772
NPL002,2004-10-01,115.7207
NPL002,2004-11-01,20.5905
NPL002,2004-12-01,5.9786
NPL002,2005-01-01,38.6083
NPL002,2005-02-01,16.8912
NPL002,2005-03-01,61.6031
NPL002,2005-04-01,183.6668
NPL002,2005-05-01,173.3338
NPL002,2005-06-01,231.1199
NPL002,2005-07-01,327.7649
NPL002,2005-08-01,367.0133
NPL002,2005-09-01,137.3456
NPL002,2005-10-01,141.4148
NPL002,2005-11-01,13.7462
NPL002,2005-12-01,5.8161
NPL002,2006-01-01,2.6399
NPL002,2006-02-01,45.0478
