fiscal_year,base_year,sr_no,group_code,cmdty_code,description,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fy_avg_index
2016-2017,2007-08,7,01,05,Rice,158.13,159.75,160.52,160.67,160.23,160.68,162.33,168.06,169.87,174.21,177.72,178.03,165.85
2016-2017,2007-08,8,01,06,Cereals,249.62,250.03,250.17,250.57,251.74,253.48,253.51,253.65,253.81,254.41,255.14,254.31,252.54
2016-2017,2007-08,9,01,07,Bakery & Confectionary,215.31,215.45,215.16,215.5,216.46,216.31,216.35,216.92,217.2,217.62,217.9,218.31,216.54
2016-2017,2007-08,10,01,08,Nimco,248.79,248.87,248.88,249.01,250.65,250.57,250.6,250.62,250.97,253.75,254.27,254.89,250.99
2016-2017,2007-08,11,01,09,Meat,262.75,263.86,264.07,264.87,266.48,266.71,267.47,268.26,270.81,271.99,274.72,278.12,268.34
2016-2017,2007-08,12,01,10,Chicken,184.75,157.45,151.17,181.47,174.63,157.28,153.54,165.68,201.47,208.2,192.12,182.45,175.85
2016-2017,2007-08,13,01,11,Fish,218.77,218.81,216.97,216.3,215.91,218.75,218.2,219.56,218.06,217.64,216.86,217.81,217.8
2016-2017,2007-08,14,01,12,Milk Fresh,265.5,266.37,266.39,266.4,267.15,267.57,267.9,268.32,269.32,271.51,273.61,273.62,268.64
2016-2017,2007-08,15,01,13,Milk Products,256.27,256.76,256.76,256.84,257.33,257.72,257.8,258.54,258.9,260.42,261.79,262.51,258.47
2016-2017,2007-08,16,01,14,Milk Powder,236.84,236.75,237.04,237.25,237.27,236.55,236.11,236.18,234.74,234.56,234.48,233.49,235.94
2016-2017,2007-08,17,01,15,Eggs,178.31,192.6,202.98,196.35,241.93,258.52,251.58,229.6,180.6,179.91,178.26,186.21,206.4
2016-2017,2007-08,18,01,16,Mustard Oil,153.99,154.01,153.83,153.72,155.96,156.65,156.91,158.04,157.82,157.82,159.76,159.86,156.53
2016-2017,2007-08,19,01,17,Cooking Oil,133.61,133.69,133.69,133.71,134,134.91,135.3,135.95,136.67,137.69,137.86,137.77,135.4
2016-2017,2007-08,20,01,18,Vegetable Ghee,136.94,136.99,137.89,138.08,138.42,139.83,140.9,141.52,142.06,143.12,142.61,142.61,140.08
2016-2017,2007-08,21,01,19,Dry Fruits,263.57,262.69,258.62,261.23,265,265.05,265.17,264.98,263.92,266.78,266.15,264.11,263.94
