fiscal_year,base_year,group_code,cmdty_code,description,fy_avg_index
2017-2018,2007-08,12,88,Blades,200.83
2018-2019,2007-08,12,88,Blades,214.74
2015-2016,2007-08,12,89,Personal Equipments,274.48
2016-2017,2007-08,12,89,Personal Equipments,293.33
2017-2018,2007-08,12,89,Personal Equipments,315.68
2018-2019,2007-08,12,89,Personal Equipments,350.9
2019-2020,2015-16,00,00,General,129.99
2020-2021,2015-16,00,00,General,140.57
2021-2022,2015-16,00,00,General,157.19
2022-2023,2015-16,00,00,General,199.39
2023-2024,2015-16,00,00,General,247.49
2024-2025,2015-16,00,00,General,260.64
2025-2026,2015-16,00,00,General,279.21
2019-2020,2015-16,01,00,Food and non-alcoholic Beverages,128.81
2020-2021,2015-16,01,00,Food and non-alcoholic Beverages,145.67
2021-2022,2015-16,01,00,Food and non-alcoholic Beverages,165.58
2022-2023,2015-16,01,00,Food and non-alcoholic Beverages,226.75
2023-2024,2015-16,01,00,Food and non-alcoholic Beverages,274.62
2024-2025,2015-16,01,00,Food and non-alcoholic Beverages,276.42
2025-2026,2015-16,01,00,Food and non-alcoholic Beverages,287.7
2019-2020,2015-16,01,01,Wheat,121.2
2020-2021,2015-16,01,01,Wheat,158.99
2021-2022,2015-16,01,01,Wheat,176.36
2022-2023,2015-16,01,01,Wheat,293.89
2023-2024,2015-16,01,01,Wheat,337.9
2024-2025,2015-16,01,01,Wheat,224.92
2025-2026,2015-16,01,01,Wheat,283.47
2019-2020,2015-16,01,02,Wheat flour,117.56
2020-2021,2015-16,01,02,Wheat flour,138.1
2021-2022,2015-16,01,02,Wheat flour,160.15
2022-2023,2015-16,01,02,Wheat flour,250.95
2023-2024,2015-16,01,02,Wheat flour,337.16
2024-2025,2015-16,01,02,Wheat flour,228.17
2025-2026,2015-16,01,02,Wheat flour,269.32
2019-2020,2015-16,01,03,Wheat products,120.29
2020-2021,2015-16,01,03,Wheat products,151.49
2021-2022,2015-16,01,03,Wheat products,172.66
2022-2023,2015-16,01,03,Wheat products,250.62
2023-2024,2015-16,01,03,Wheat products,318.23
2024-2025,2015-16,01,03,Wheat products,286.39
2025-2026,2015-16,01,03,Wheat products,293.99
2019-2020,2015-16,01,04,Besan,119.3
2020-2021,2015-16,01,04,Besan,122.37
2021-2022,2015-16,01,04,Besan,134.97
2022-2023,2015-16,01,04,Besan,201.78
2023-2024,2015-16,01,04,Besan,212.53
2024-2025,2015-16,01,04,Besan,284.65
2025-2026,2015-16,01,04,Besan,231.6
2019-2020,2015-16,01,05,Rice,130.36
2020-2021,2015-16,01,05,Rice,139.9
2021-2022,2015-16,01,05,Rice,155.49
2022-2023,2015-16,01,05,Rice,248.3
2023-2024,2015-16,01,05,Rice,328.28
2024-2025,2015-16,01,05,Rice,311.9
2025-2026,2015-16,01,05,Rice,328.53
2019-2020,2015-16,01,06,Bakery and confectionary,122.83
2020-2021,2015-16,01,06,Bakery and confectionary,141.05
2021-2022,2015-16,01,06,Bakery and confectionary,160.76
2022-2023,2015-16,01,06,Bakery and confectionary,219.1
2023-2024,2015-16,01,06,Bakery and confectionary,264.53
2024-2025,2015-16,01,06,Bakery and confectionary,264.54
2025-2026,2015-16,01,06,Bakery and confectionary,277.81
2019-2020,2015-16,01,07,Nimco,120.21
2020-2021,2015-16,01,07,Nimco,137.24
2021-2022,2015-16,01,07,Nimco,165.09
2022-2023,2015-16,01,07,Nimco,231.59
2023-2024,2015-16,01,07,Nimco,278.95
2024-2025,2015-16,01,07,Nimco,294.5
2025-2026,2015-16,01,07,Nimco,303.93
2019-2020,2015-16,01,08,Meat,141.53
2020-2021,2015-16,01,08,Meat,158.11
2021-2022,2015-16,01,08,Meat,190.79
2022-2023,2015-16,01,08,Meat,232.99
2023-2024,2015-16,01,08,Meat,278.19
2024-2025,2015-16,01,08,Meat,327.3
2025-2026,2015-16,01,08,Meat,363.83
2019-2020,2015-16,01,09,Chicken,120.03
2020-2021,2015-16,01,09,Chicken,149.49
2021-2022,2015-16,01,09,Chicken,165.85
2022-2023,2015-16,01,09,Chicken,241.83
2023-2024,2015-16,01,09,Chicken,280.07
2024-2025,2015-16,01,09,Chicken,300.53
2025-2026,2015-16,01,09,Chicken,271.88
2019-2020,2015-16,01,10,Fish,120.93
2020-2021,2015-16,01,10,Fish,114.54
2021-2022,2015-16,01,10,Fish,119.34
2022-2023,2015-16,01,10,Fish,141.12
2023-2024,2015-16,01,10,Fish,174.31
2024-2025,2015-16,01,10,Fish,208.53
2025-2026,2015-16,01,10,Fish,223.68
2019-2020,2015-16,01,11,Milk fresh,119.12
2020-2021,2015-16,01,11,Milk fresh,135.7
2021-2022,2015-16,01,11,Milk fresh,152.62
2022-2023,2015-16,01,11,Milk fresh,199.18
2023-2024,2015-16,01,11,Milk fresh,236.6
2024-2025,2015-16,01,11,Milk fresh,261
2025-2026,2015-16,01,11,Milk fresh,271.22
2019-2020,2015-16,01,12,Milk products,122.41
2020-2021,2015-16,01,12,Milk products,138.93
2021-2022,2015-16,01,12,Milk products,155.8
2022-2023,2015-16,01,12,Milk products,200.32
2023-2024,2015-16,01,12,Milk products,243.92
2024-2025,2015-16,01,12,Milk products,264.77
2025-2026,2015-16,01,12,Milk products,274.7
2019-2020,2015-16,01,13,Milk powder,125.09
2020-2021,2015-16,01,13,Milk powder,134.86
2021-2022,2015-16,01,13,Milk powder,147.89
2022-2023,2015-16,01,13,Milk powder,194.21
2023-2024,2015-16,01,13,Milk powder,249.81
2024-2025,2015-16,01,13,Milk powder,304.51
2025-2026,2015-16,01,13,Milk powder,326.77
2019-2020,2015-16,01,14,Eggs,124.1
2020-2021,2015-16,01,14,Eggs,178.54
2021-2022,2015-16,01,14,Eggs,187.83
2022-2023,2015-16,01,14,Eggs,291.08
2023-2024,2015-16,01,14,Eggs,342.17
2024-2025,2015-16,01,14,Eggs,335.52
2025-2026,2015-16,01,14,Eggs,330.34
2019-2020,2015-16,01,15,Butter,153.62
2020-2021,2015-16,01,15,Butter,184.18
2021-2022,2015-16,01,15,Butter,209.43
2022-2023,2015-16,01,15,Butter,299.52
2023-2024,2015-16,01,15,Butter,350.43
2024-2025,2015-16,01,15,Butter,406.53
2025-2026,2015-16,01,15,Butter,487.26
2019-2020,2015-16,01,16,Mustard oil,118.24
2020-2021,2015-16,01,16,Mustard oil,143.17
2021-2022,2015-16,01,16,Mustard oil,218.67
